开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-06-26 19:32:04,2020-06-26 20:11:45,17.4,280.301,0,88631/88629/88628/88626/88625/88622/88621/88619/88616,276.21,0,276.655,0,1,0.5,1.5
2020-06-26 19:13:35,2020-06-26 19:32:04,10.1,163.199,0,88615/88613/88612/88610,162.08,0,162.998,0,1,0.5,1.5
2020-06-26 18:38:54,2020-06-26 19:13:35,16.4,261.801,0,88608/88607/88605/88602/88600/88598/88595,257.86,0,257.862,0,1,0.5,1.5
2020-06-26 18:26:14,2020-06-26 18:38:54,12.2,195.5,0,88594/88592,197.77,0,197.773,0,1,0.5,1.5
2020-06-26 18:01:04,2020-06-26 18:26:14,10.4,165.9,0,88588/88582/88580,165.33,0,164.854,0,1,0.5,1.5
2020-06-26 17:31:14,2020-06-26 18:01:04,15.4,244.799,0,88574/88571/88569/88567/88564,241.13,0,241.609,0,1,0.5,1.5
2020-06-26 17:18:45,2020-06-26 17:31:14,11.2,177.901,0,88560/88557,176.1,0,176.1,0,1,0.5,1.5
2020-06-26 16:51:25,2020-06-26 17:18:45,11.7,183.9,0,88554/88553/88551/88549/88545,184.8,0,184.8,0,1,0.5,1.5
2020-06-26 16:21:15,2020-06-26 16:51:25,13.7,214.9,0,88541/88539/88536/88535/88533,213.6,0,213.6,0,1,0.5,1.5
2020-06-26 15:53:55,2020-06-26 16:21:15,16.3,255.2,0,88529/88527/88526/88524/88523/88520,257.6,0,257.597,0,1,0.5,1.5
2020-06-26 15:40:15,2020-06-26 15:53:55,13.1,204.701,0,88517/88514,200.26,0,200.26,0,1,0.5,1.5
2020-06-26 15:02:25,2020-06-26 15:40:15,18.5,287.199,0,88511/88509/88508/88507/88501,279.55,0,280.063,0,1,0.5,1.5
2020-06-26 14:37:04,2020-06-26 15:02:25,10.5,160.5,0,88494/88493/88491/88490/88487,158.83,0,158.83,0,1,0.5,1.5
2020-06-26 14:17:04,2020-06-26 14:37:04,12.8,198,0,88486/88482/88479,196.7,0,197.744,0,1,0.5,1.5
2020-06-26 14:05:25,2020-06-26 14:17:04,10.6,161,0,88477/88476/88474,162.43,0,162.691,0,1,0.5,1.5
2020-06-26 13:46:14,2020-06-26 14:05:25,10.8,164.199,0,88470/88468/88463,159.71,0,159.711,0,1,0.5,1.5
2020-06-26 13:01:25,2020-06-26 13:46:14,10.4,158.401,0,88460/88457/88456/88454/88451/88447/88444/88442,155.28,0,155.545,0,1,0.5,1.5
2020-06-26 12:22:14,2020-06-26 13:01:25,13.1,198,0,88440/88439/88436/88435/88434/88431,195.27,0,195.27,0,1,0.5,1.5
2020-06-26 11:54:14,2020-06-26 12:22:14,15.6,233.5,0,88429/88427/88425/88422/88419,230.44,0,230.712,0,1,0.5,1.5
2020-06-26 11:24:34,2020-06-26 11:54:14,15.7,234,0,88416/88409/88408/88405,233.99,0,233.993,0,1,0.5,1.5
2020-06-26 10:49:15,2020-06-26 11:24:34,16.9,252,0,88403/88400/88399/88394/88393/88390/88387,248.35,0,248.904,0,1,0.5,1.5
2020-06-26 10:20:44,2020-06-26 10:49:15,15,218.3,0,88385/88383/88380,216.98,0,217.544,0,1,0.5,1.5
2020-06-26 10:05:55,2020-06-26 10:20:44,14.9,218.401,0,88378/88374/88373/88369,212.58,0,212.581,0,1,0.5,1.5
2020-06-26 09:41:25,2020-06-26 10:05:55,13.4,192.599,0,88366/88364/88362/88357,193.86,0,194.147,0,1,0.5,1.5
2020-06-26 09:12:46,2020-06-26 09:41:25,13.3,192.7,0,88355/88352/88349/88347/88343/88342,186.91,0,186.911,0,1,0.5,1.5
2020-06-26 08:32:04,2020-06-26 09:12:46,14.3,203.4,0,88337/88332/88329/88325,202.87,0,202.871,0,1,0.5,1.5
2020-06-26 08:12:35,2020-06-26 08:32:04,11.2,158.5,0,88319/88316/88315/88313,156.96,0,156.668,0,1,0.5,1.5
2020-06-26 07:50:25,2020-06-26 08:12:35,16.7,234.1,0,88311/88309/88307/88304,231.83,0,231.83,0,1,0.5,1.5
2020-06-26 07:30:45,2020-06-26 07:50:25,12.4,172.5,0,88300/88299/88298/88294,171.55,0,170.958,0,1,0.5,1.5
2020-06-26 07:05:55,2020-06-26 07:30:45,11.7,160.599,0,88292/88288/88285/88284,156.95,0,156.056,0,1,0.5,1.5
2020-06-26 01:05:36,2020-06-26 07:05:55,19.9,273.301,0,88282/88281/88276/88273/88270/88267/88266/88265,264.32,0,270.956,0,1,0.5,1.5
