开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-04 14:58:32,2020-07-04 14:59:42,1,16.599,0,92281,17.93,0,17.93,0,0.75,0.5,1.25
2020-07-04 14:51:42,2020-07-04 14:53:52,3.2,52.099,280,92277,53.94,0,53.94,0,1,0.5,1.5
2020-07-04 14:41:02,2020-07-04 14:44:02,4.2,68.901,460,92274,68.41,0,68.838,0,1,1,2
2020-07-04 14:35:12,2020-07-04 14:37:32,3.4,54.799,210,92270,53.77,0,53.341,0,1,0.5,1.5
2020-07-04 14:21:42,2020-07-04 14:32:12,13.7,224.3,180,92267,224.23,0,224.23,0,1,0.5,1.5
2020-07-04 14:08:22,2020-07-04 14:11:32,3.1,50.1,610,92260,47.45,0,47.45,0,1,1,2
2020-07-04 14:05:42,2020-07-04 14:06:52,0.5,8.301,90,92256,8.97,0,9.406,0,0.5,0.5,1
2020-07-04 13:53:32,2020-07-04 13:57:52,4.8,77.099,470,92252,75.76,0,75.76,0,1,1,2
2020-07-04 13:46:12,2020-07-04 13:47:02,0.3,4.2,390,92245,3.59,0,3.59,0,0.5,1,1.5
2020-07-04 13:41:12,2020-07-04 13:43:12,2.7,43.8,180,92242,43.46,0,43.899,0,1,0.5,1.5
2020-07-04 13:37:32,2020-07-04 13:39:12,2.2,35.401,120,92240,35.85,0,35.41,0,1,0.5,1.5
2020-07-04 13:32:02,2020-07-04 13:35:32,3.6,58.401,120,92236,56.68,0,56.68,0,1,0.5,1.5
2020-07-04 13:20:22,2020-07-04 13:24:52,6.8,110.5,430,92231,107.66,0,108.104,0,1,1,2
2020-07-04 13:15:42,2020-07-04 13:17:52,1.4,22.9,150,92226,21.44,0,20.996,0,1,0.5,1.5
2020-07-04 13:10:12,2020-07-04 13:12:22,2.8,45.898,200,92224,44.56,0,44.56,0,1,0.5,1.5
2020-07-04 13:03:42,2020-07-04 13:05:32,2.4,37.5,280,92222,35.85,0,35.85,0,1,0.5,1.5
2020-07-04 12:58:12,2020-07-04 13:00:12,1.5,25,210,92219,25.63,0,25.183,0,1,0.5,1.5
2020-07-04 12:52:52,2020-07-04 12:56:52,3.1,50,80,92217,48.51,0,48.958,0,1,0.5,1.5
2020-07-04 12:38:22,2020-07-04 12:40:52,5.3,85.5,720,92211,84.08,0,84.08,0,1,1,2
2020-07-04 12:36:02,2020-07-04 12:37:32,0.9,14.602,50,92209,14.16,0,14.16,0,0.75,0.5,1.25
2020-07-04 12:32:02,2020-07-04 12:33:22,1,16.599,160,92207,17.93,0,18.381,0,0.75,0.5,1.25
2020-07-04 12:28:32,2020-07-04 12:30:22,1.3,20.801,100,92206,21.63,0,21.63,0,1,0.5,1.5
2020-07-04 12:23:22,2020-07-04 12:26:12,2.1,33.199,140,92202,35.24,0,34.788,0,1,0.5,1.5
2020-07-04 12:16:32,2020-07-04 12:18:22,2.1,35.199,300,92199,35.85,0,37.435,0,1,1,2
2020-07-04 12:02:42,2020-07-04 12:04:22,2.6,41.401,730,92194,41.71,0,41.71,0,1,1,2
2020-07-04 11:53:32,2020-07-04 11:54:52,1.7,26.9,470,92188,26.89,0,26.208,0,1,1,2
2020-07-04 11:45:52,2020-07-04 11:49:22,3.2,52.1,250,92186,51.16,0,51.16,0,1,0.5,1.5
2020-07-04 11:35:42,2020-07-04 11:37:32,2.2,35.4,500,92180,35.85,0,36.992,0,1,1,2
2020-07-04 11:31:02,2020-07-04 11:32:02,0.6,10.4,220,92176,8.97,0,8.97,0,0.5,0.5,1
2020-07-04 11:22:02,2020-07-04 11:24:12,4,64.6,410,92173,62.85,0,62.85,0,1,1,2
2020-07-04 11:16:42,2020-07-04 11:18:42,1.4,22.801,200,92171,22.07,0,22.07,0,1,0.5,1.5
2020-07-04 11:09:02,2020-07-04 11:11:02,3.9,61.699,340,92168,60.47,0,60.47,0,1,1,2
